Project	Beans	Annotations	JUnit
1.4.x	True	True	True
1.5.x	True	True	True
15git	True	True	False
325Group	True	True	False
451F	True	True	True
50words	False	True	True
aab-main	True	True	False
aac.client	False	True	True
Abacus3D	True	True	False
abstractions	True	True	True
ACMEReservedMeetingRooms	True	True	True
acsp	True	True	True
activemq-plugin	True	True	True
Activiti	True	True	True
activiti-demo	True	True	True
activiti-liferay	True	True	True
actreports	True	True	False
adbcj	False	True	False
addis-core	False	True	True
addis2	True	True	False
addressbook	True	True	True
addressbook-sample-jpa	True	True	True
addressbook-sample-mongodb	True	True	True
AdmissionDepartment	True	True	False
aerogear-unifiedpush-server	True	True	True
Aeroport_Module	True	True	False
AffectationParcours31	True	True	True
agenda	False	True	False
agroknow	False	True	False
ai-project-server	True	True	False
aioweb	True	True	True
ajax4stripes-example	False	True	False
ajs	True	True	False
AmadeusProjectMantainer	False	True	False
AmMed	True	True	False
anajo	True	True	False
anderCidaGastosSpring	True	True	False
android-sync-sample	False	True	False
androidkickstartr	False	True	True
angular-js-spring-mybatis	True	True	False
angular-rest-springsecurity	True	True	False
angular-sample	True	True	False
angularapp	True	True	False
AngularJS-SpringMVC-example	True	True	False
angulerJS-swagger-springmvc-demo	True	True	False
anguloso	False	True	False
AppDev-CIT	True	True	True
appengine-guestbook-java	False	True	True
AppFactory-Backend	True	True	False
appfuse	True	True	True
arquillian-extension-spring	True	True	True
arsnova-war	True	True	True
asksg	True	True	True
astroreading	True	True	False
ATBWebApp	True	True	False
atmosphere-demo	True	True	False
aula-virtual	True	True	True
AutoData	True	True	True
Automation-Portal	False	True	False
AutoPecas	True	True	False
aw2m-vulture	True	True	False
AxonFramework	True	True	True
b4-inren	False	False	False
babynames	True	True	True
BacklogTool	True	True	False
bagh	False	True	False
balancup	False	True	False
bam	False	True	True
banco	True	True	True
bandManager	True	True	True
Bank	True	True	False
BankingSystem2	True	True	True
base	False	True	True
base-mvc-security	True	True	False
baseSpringMVC	True	True	False
basic-spring-roo	True	True	True
basicMVC	False	True	False
basis-webapp-sample	True	True	False
