Repo	URL	Commit	Java File Count	XML File Count	Total File Count
cra	https://github.com/poutsjr/cra	ff2efef474ab4ebe20e66febcb2f716a234ab7b3	1	1	2
camel-example-restlet-jdbc	https://github.com/alinpopa/camel-example-restlet-jdbc	7e00afc35cab34f459a08076360db0e534d1adba	0	3	3
WSSpring	https://github.com/gojeanil/WSSpring	fe8898a794803cbfb3f30978b8b0285a56bf3125	0	3	3
codex	https://github.com/anant-singh/codex	3c168e7ce33c37444717e494903d9266bb52c7a5	1	3	4
eventstore	https://github.com/enhan/eventstore	0311c88919abf29e3106f6ba511de55be0ae8fb9	3	1	4
First	https://github.com/Vanyok/First	e7199c4a3f24257075eedce3aa6e380bbb55a27e	4	0	4
HelloDOSGiSpringSecurity	https://github.com/isartcanyameres/HelloDOSGiSpringSecurity	1c1d497df61d08a032b9d46f9a7c6d3e5dde3d91	2	2	4
restful-sample	https://github.com/malemos/restful-sample	34e39572e8c3ef7dc481103258b373ba8dff4855	2	2	4
shiro-examples	https://github.com/16892434/shiro-examples	d76940a5214e6c7b92fb68c5cbe284f233eef1d8	2	2	4
spring-examples	https://github.com/kenshin579/spring-examples	090fd8df51412c81a0e23067ab273b0ef6290c7f	1	3	4
wedding-invitations-qr	https://github.com/fraanek-pl/wedding-invitations-qr	5ba950988bd866d880575ef0262b6fe028e60157	1	1	4
angular-js-spring-mybatis	https://github.com/rurutia/angular-js-spring-mybatis	b01369416dc00da291ad44e1a4e1417ef5b5e4b7	1	4	5
atmosphere-demo	https://github.com/glenasmith/atmosphere-demo	0d904f5aa4342b7fea2d6ec4eb6f2eb4a0cd1ee8	1	4	5
colanote	https://github.com/calmglow/colanote	28a2bdeb647872758c08059dcbe1265cbc656959	2	3	5
CustomerApp	https://github.com/szokebarnabas/CustomerApp	13ed74a6ab90054ea9574be2e22dacc85cf83151	2	3	5
edc	https://github.com/stingh711/edc	1fb13d2d68e31e7c73a44528e11cf375edf793bd	0	5	5
erudio-client-web	https://github.com/leandrocgsi/erudio-client-web	5182b6119fa9fde33e66c765eb28cb5f5301bfe0	0	5	5
adbcj	https://github.com/rainerWJY/adbcj	ee553630538e95f2c8e4a4ef3c3979fd420ef948	157	15	172
heroku-spike-tomcat	https://github.com/sohamghosh/heroku-spike-tomcat	b337d43b4c57c49d6476eefc311c3a96c15866bd	1	4	5
javaee7-jms-websocket-bug	https://github.com/brunoborges/javaee7-jms-websocket-bug	44dc587a6c5ddea609d3f2b6163697b6251003bc	1	4	5
JavaMVC	https://github.com/mail2vikki/JavaMVC	e78ab7110fd483a3a7878b2923893d7006574569	1	4	5
L2w	https://github.com/pshegde/L2w	9b04c36a4ad817c278954450888fabd801f89846	4	1	5
livebet	https://github.com/cadobongda/livebet	129823e032b402a5e47c622fe73f04107eec7fcf	1	4	5
mentor-project-2013	https://github.com/kevinthorley/mentor-project-2013	2aad56f6f3c1fe17fc26feb0e3387c4cf4ceb181	1	4	5
prerender-java	https://github.com/vidyar/prerender-java	1345d6aad10eb575a92773e0f1d91228be4559c6	2	3	5
quartz-glass-web	https://github.com/bingoohuang/quartz-glass-web	fa7ef1be814c5b41407062af7e4166501c133f3e	1	4	5
timeonim	https://github.com/balajin/timeonim	eaed72c449f412bcb5eb54c0b789333cfe898add	2	3	5
ToDo	https://github.com/KateAstafieva/ToDo	80ba8384698ce6cbd4218ac2b2699e22a17a016f	1	4	5
BooSpring	https://github.com/AbuSufiyan/BooSpring	893ccbf6203dae1efce4f1b5f8af4ac99db8a2f9	1	5	6
charizard	https://github.com/charliestrawn/charizard	469dbfff9a431f9a0530c677b9dc651894a80d3f	2	4	6
cucumber-rest	https://github.com/abdielou/cucumber-rest	dc06f0dfc857e6c04173eb0113033119df2c2e70	4	2	6
ajax4stripes-example	https://github.com/kahowell/ajax4stripes-example	643d8f56afffecfde1ca7232db48da4bb1c2771c	1	2	3
dummy-rest-api	https://github.com/pulkitsinghal/dummy-rest-api	57014d3b22e094263654f6a5d83860103ebcff4e	3	3	6
AmadeusProjectMantainer	https://github.com/inigo85/AmadeusProjectMantainer	0c46f5c7474ab51755ca60c953122dd7356ced4d	16	5	21
eManager	https://github.com/sapstrt/eManager	2d3ff57f66005cac204894af0275fc4665fad5ef	1	5	6
hahale.tv	https://github.com/congrixu/hahale.tv	59106257b749b23a8133f9ad942c2871f619e875	0	6	6
heroku-wicket-quickstart	https://github.com/CedricGatay/heroku-wicket-quickstart	a485135d6f3b644182671fcf2959c4b9dc2da8dd	4	2	6
java_web_sample	https://github.com/nakaearth/java_web_sample	1391ce9c3c4d5a3afd50eb85ba3c70aebd334204	3	3	6
jdb	https://github.com/pluvia/jdb	985bf46c50fec8127feb8298c912c5ba73c6c6b2	3	3	6
js-web-application-framework	https://github.com/Starter4Ten/js-web-application-framework	eaf0f6329f5fda02c39f27c269fa0f5fbc4b07c3	2	4	6
json-datastore	https://github.com/qronon/json-datastore	9aad470e50d8bac5bf609f6db97113bfd873810c	1	5	6
mvc-component-tester	https://github.com/russellpwirtz/mvc-component-tester	5090ba20b1a0c0b56603a9eca4f64da71f1181c3	1	5	6
PROJET	https://github.com/FJacquot/PROJET	cba87f93f75a31f77f11cc0735eecc0555e47025	0	6	6
reports-test	https://github.com/javamax/reports-test	74524181b9ebd4649faf37af22105fba03dbc58b	1	5	6
rest	https://github.com/mmuruev/rest	4a5240274cb71ab99cb02c93da21bf1718a58b91	3	3	6
anguloso	https://github.com/matheusmessora/anguloso	446cabc055c9587d4a29f3568a1b623ae5d3dd78	5	5	10
spring-rest-security	https://github.com/lmnogueira/spring-rest-security	a6c1c717a9287aa49ad4c6f8f16d3775c784ccd8	2	4	6
twilio-sample	https://github.com/pisi79/twilio-sample	8f184872aae22cbc0a2262d016ff1f26ca8773fc	2	4	6
vraptor-jndi-hibernate	https://github.com/guilhermegregio/vraptor-jndi-hibernate	c7cdb97f1bf8de34640ebf1c5472257b282b9dab	2	4	6
webfwk	https://github.com/rupeshraut/webfwk	240967e4ee52ba74daf86e53ea398c33673a2471	1	5	6
webprototype	https://github.com/helloyzy/webprototype	49f6a058f1aa18be2318148de8e87e577c2aa0b3	2	4	6
appengine-guestbook-java	https://github.com/antonytrupe/appengine-guestbook-java	e0e800534c0d295307aadcf48d27e990e528f48d	4	3	7
basic-spring-roo	https://github.com/caiosantarossa/basic-spring-roo	e1edd50f5b4711bd2cd91fb1a9ddc503905cedc5	0	7	7
basicMVC	https://github.com/marco76/basicMVC	e808d053cee341796ec064a49c60260c69394bfe	6	1	7
basis-webapp-sample	https://github.com/jletourneau-basistech/basis-webapp-sample	f5d0fe13594b10bd6f20f5b0d7b0c9d409993f9d	3	4	7
boazglean-paqad	https://github.com/dodtsair/boazglean-paqad	4f18f8f3437c65e900d6e2f46d728bc5f794c773	2	5	7
capi-jetty	https://github.com/johnmacenri/capi-jetty	99ffe631c8cb40854393ee1c86898c33efddc67d	3	4	7
cas-server-integration-ldaptive	https://github.com/serac/cas-server-integration-ldaptive	3374ef8508bf5e6d7c78847f3df05e4740476364	5	2	7
Automation-Portal	https://github.com/mcasperson/Automation-Portal	36361a4231cba8697054cc8441688fffcbc9d32a	11	4	15
daw02	https://github.com/AntonioNP/daw02	736e2796e577e59dc7891af563885bba33b7b792	3	4	7
dspace-rest	https://github.com/peterdietz/dspace-rest	e97ff752b7773f760177e067a36a5afec3c85682	4	3	7
execution-time-filter	https://github.com/robusta-inc/execution-time-filter	8aea76cf46901b58439872761c8b1aba1a65a8ef	3	4	7
b4-inren	https://github.com/inren/b4-inren	16131b112f97078e646e4cfc914ee4158b16d604	0	1	1
jabio	https://github.com/paulogomesce/jabio	2b03e52317961bfe3e35ad6065e8e72abdb0cb1e	2	5	7
jersey-spring-angularjs	https://github.com/alexjpaz/jersey-spring-angularjs	ba42b69d54aabf2bfb5a40eddad21bb437c519e2	4	3	7
mppconverter-java	https://github.com/smulyono/mppconverter-java	9cd1b6542a79ae3e4783442cf9e51b601558d654	3	4	7
balancup	https://github.com/davidSFDC/balancup	a75e35bc141f4a7373a3b4c3947b97b670333c90	2	2	4
RSSFeeding	https://github.com/damiancyk/RSSFeeding	b708cbb3d79282f8679da62ce7e451e768537282	3	4	7
spring-twitter-demo	https://github.com/davejoyce/spring-twitter-demo	277dc0ea0ba294a745fdb792b87e10be0d3df681	2	5	7
springproject	https://github.com/himadridmb/springproject	0473c3e831c9de041360d1396254aaba3490b752	1	6	7
tmm_phonebook	https://github.com/vkuchyn/tmm_phonebook	d9c0a75bf50e8ae5f8cae344880ff10ac033a5e3	4	3	7
togglz-demo	https://github.com/maurotalevi/togglz-demo	d1528cfa8721f1a859752fdfb8fcba9e219421a5	2	5	7
trip-service	https://github.com/bobmouse/trip-service	5dea508b1feffa542c861baf938646a9a434d25a	2	5	7
WicketSpringIntegration	https://github.com/karankhosla/WicketSpringIntegration	fd282745b278079f93dc7fdc83502931d114b9d2	4	3	7
anderCidaGastosSpring	https://github.com/romalopes/anderCidaGastosSpring	a624e19b957c378185a4433bfb2757284f3d4e74	2	6	8
AppDev-CIT	https://github.com/igm/AppDev-CIT	a973c8a6cad4c46941a7493763f996c69a86ee83	4	4	8
books	https://github.com/nurkiewicz/books	3542ba13d30baf23675224ef1b190a78d081941c	4	4	8
continuous-deployment-blogpost	https://github.com/garystafford/continuous-deployment-blogpost	2ba3db25f292728a7fbaf0a5684a12b86b9698bd	4	4	8
dc	https://github.com/cidua/dc	2c0989e9daf1432e3a23523d00ff6231e8442594	4	4	8
FilaVirtual	https://github.com/enosje/FilaVirtual	254c391fff3f1d83105c2d18736ec11d142e9c46	1	7	8
hadoop_webservice	https://github.com/choreos/hadoop_webservice	46046e28287c3892daef0fe64068cb396c5646ad	4	4	8
identime	https://github.com/A1kmm/identime	300050bacb5259aed6382ad5db7fa2f4c2d5a7cf	1	7	8
ip-manager	https://github.com/mikecarr/ip-manager	c482178d199565569edd8f0ae514c966fac479bb	4	4	8
jackson_sandbox	https://github.com/jlbfalcao/jackson_sandbox	9d8e63da826c6b3ffaee6a35458fa625f5bf541b	4	4	8
learning-spring	https://github.com/opensunil/learning-spring	ac1adeaac87622de27dc443ae0439bf331886d55	5	3	8
mongoservice	https://github.com/rsingla/mongoservice	5940e368b7fbe3aebbb11bbf1f4844d3b5a5e158	1	7	8
NewBlog	https://github.com/PengMQ/NewBlog	c8b6f20cabd0a18b4bded836be6c64d84865b434	4	4	8
opencatalog	https://github.com/amrnablus/opencatalog	adb302441872e61a8b134727106ffddc8445ce78	4	4	8
sip031	https://github.com/djboy71/sip031	79a45e7da2870b81bf98aa9cef8582a1a9ce2381	2	6	8
smpp-rest	https://github.com/OlegIakovlev/smpp-rest	77f081820983888697d79df6d1223e76cfad7578	5	3	8
spring.cloudfoundry.mysql	https://github.com/smartcampuslab/spring.cloudfoundry.mysql	8d279c43c2192547abcf9e2d9be6f59a449ff857	4	4	8
TCS_PoC	https://github.com/Austin-Xie/TCS_PoC	e6cad43e722e9106bf871ed3e55f7dcff61da285	5	3	8
tutorial	https://github.com/kws/tutorial	d9927ab3d17587fa26b4e8c25e16872cab24844c	2	6	8
webservice-study	https://github.com/usedtolove/webservice-study	36cfac9bf2ed2a617ff246b988268f6c1e826ba0	5	3	8
BIND-DNS	https://github.com/rs146/BIND-DNS	100e39cba9dbb48fbfe9f2ab4611f2ca1f9f8539	2	7	9
brew	https://github.com/NicolasGeraud/brew	45de0b7b2fe5d9a345ea3a6d8d1b2d954162ae02	3	6	9
biz	https://github.com/blooregard/biz	9d223c9f08ab24f17b4a2981b4bef2b6806abd1a	5	8	13
jetty-springmvc-thymeleaf-template	https://github.com/jasonish/jetty-springmvc-thymeleaf-template	ea062734b9460cb0f3fc13b8f332c3b2268dd97d	6	3	9
livelog	https://github.com/Christian2000/livelog	9b59254240aa57a5637fe39e4485e617525ed43e	3	6	9
SpringMVCTalk	https://github.com/deline/SpringMVCTalk	3ac98acbac1aa6f429d991e8b534f901b9413520	4	5	9
addressbook	https://github.com/andrea-patricelli/addressbook	5216c584c7f5049f81d8a558342ea032b1f24245	5	5	10
baseSpringMVC	https://github.com/arielfr/baseSpringMVC	28605bbdf72748c22e59562f7fedae7bd8ed9afc	1	9	10
clientbanking	https://github.com/GeorgeSergeev/clientbanking	9b04a250940573bbc6d06a5e154f72b2a9c52abb	4	6	10
clientmgr	https://github.com/jkyamog/clientmgr	70daad5b7dbf388d3fb832e0c9330143345ebe62	4	6	10
clientwinterburn	https://github.com/Treeptik/clientwinterburn	cf45d2a2df81aa654ff34d954fc7873c876f9621	2	8	10
design-a-pizza	https://github.com/d3clan/design-a-pizza	995dfaa326e584375868b91be29d8c4b8afe55b9	3	7	10
