repo_name	repo_url	number_of_stars	number_of_downloads	number_of_collaborators
angular-js-spring-mybatis	https://github.com/rurutia/Kumo-Note-Webfront	0	0	0
heroku-spike-tomcat	https://github.com/sohamghosh/heroku-spike-tomcat	0	0	0
BooSpring	https://github.com/AbuSufiyan/BooSpring	0	0	0
spring-rest-security	https://github.com/lmnogueira/spring-rest-security	0	0	0
basis-webapp-sample	https://github.com/jletourneau-basistech/basis-webapp-sample	0	0	0
daw02	https://github.com/AntonioNP/daw02	0	0	0
dspace-rest	https://github.com/peterdietz/dspace-rest	0	0	0
springproject	https://github.com/himadridmb/springproject	1	0	0
trip-service	https://github.com/bobmouse/trip-service	1	0	0
mongoservice	https://github.com/rsingla/mongoservice	0	0	0
mobileiq	https://github.com/kjsenthil02/mobileiq	0	0	0
MyTest	https://github.com/Andronavt/MyTest	0	0	0
ACMEReservedMeetingRooms	https://github.com/irssildur/ACMEReservedMeetingRooms	0	0	0
rest-app	https://github.com/vkolodrevskiy/rest-app	0	0	0
FreeClassFinder_Server	https://github.com/rks92/FreeClassFinder_Server	0	0	0
lushtext	https://github.com/hunsang/lushtext	0	0	0
MongoDBSpringRest	https://github.com/mgpradeepa/MongoDBSpringRest	0	0	0
ShcUtils	https://github.com/535521469/ShcUtils	0	0	0
OnzeVencedor	https://github.com/peresjuliao/OnzeVencedor	1	0	0
spring-vaadin	https://github.com/mcgray/spring-vaadin	1	0	0
green-webflow	https://github.com/yanaga-samples/green-webflow	2	0	0
jbpm-multimodulo	https://github.com/hernsys/jbpm-multimodulo	0	0	0
jee_baseapp	https://github.com/w00x/jee_baseapp	-1	-1	-1
voice-control-tunnel	https://github.com/Vinalynn/voice-control-tunnel	0	0	0
cv-web	https://github.com/smyrouf/cv-web	1	0	0
eFood	https://github.com/mturchyn/eFood	0	0	0
training-djpk-2014-01	https://github.com/artivisi/training-djpk-2014-01	0	0	0
chinabank-application2	https://github.com/baowp/chinabank-application2	0	0	0
biyam_repository	https://github.com/gedkang/biyam_repository	0	0	0
cas-webapp-jboss7	https://github.com/adrianchia/cas-webapp-jboss7	1	0	0
ett-integration	https://github.com/liweinan/ett-integration	0	0	0
test-ejb-arquiteture	https://github.com/emmanuelneri/test-ejb-arquiteture	0	0	0
BacklogTool	https://github.com/sublibra/BacklogTool	0	0	0
aw2m-vulture	https://github.com/gambit135/aw2m-vulture	0	0	0
PurchaseManagement	https://github.com/rashiph/PurchaseManagement	0	0	0
smorales-app-headbanging-ee6	https://github.com/sdmoralesma/smorales-app-headbanging-ee6	0	0	0
DataAnalyzePlatform	https://github.com/litongbupt/DataAnalyzePlatform	2	0	0
generica	https://github.com/ui-kreinhard/generica	0	0	0
ComicRate	https://github.com/tekton/ComicRate	1	0	0
Dino	https://github.com/pmantra/Dino	0	0	0
collection-manager	https://github.com/regueiro/collection-manager	0	0	0
FarmaciaFuturo	https://github.com/desireesantos/FarmaciaFuturo	0	0	0
Longminder	https://github.com/teppok/Longminder	0	0	0
EduServer	https://github.com/twerno/EduServer	1	0	0
Kognitywistyka	https://github.com/m2gikbb/Kognitywistyka	0	0	0
LIBRARY	https://github.com/dawe73/LIBRARY	0	0	0
lite-framework	https://github.com/itwarcraft/lite-framework	0	0	0
kie-wb-distributions	https://github.com/kirkalicious/kie-wb-distributions	0	0	0
feedAggregate	https://github.com/vincentko89/feedAggregate	0	0	0
homesources	https://github.com/pcmiller/homesources	0	0	0
aab-main	https://github.com/arunsnonline/aab-main	0	0	0
spring-petclinic	https://github.com/i386/spring-petclinic	0	0	0
enterprise-routing-system	https://github.com/sovcn/enterprise-routing-system	0	0	0
jarvis	https://github.com/ReeverPD/jarvis	0	0	0
I377-esk	https://github.com/hannesnolvak/I377-esk	1	0	0
genetic-program	https://github.com/bmgorski/genetic-program	0	0	0
nhimeyecms	https://github.com/hlieuta/nhimeyecms	0	0	0
FileExplorer	https://github.com/brianleesg1/FileExplorer	0	0	0
cipol	https://github.com/dcoraboeuf/cipol	1	0	0
rop	https://github.com/astutesparrow/rop	0	0	0
johnsully83_groovy	https://github.com/johnsully83/johnsully83_groovy	0	0	0
E2-Demo	https://github.com/fhomasp/E2-Demo	0	0	0
wombat	https://github.com/rskonnord-plos/wombat	0	0	0
aerogear-unifiedpush-server	https://github.com/aerogear/aerogear-unifiedpush-server	458	0	0
aioweb	https://github.com/hopestar720/aioweb	0	0	0
emite	https://github.com/ashward/emite	1	0	0
kolomet	https://github.com/slovi/kolomet	0	0	0
bennu-renderers	https://github.com/FenixEdu/bennu-renderers	1	0	0
Lemo-Data-Management-Server	https://github.com/LemoProject/Lemo-Data-Management-Server	11	0	0
CWISE-Portal	https://github.com/xcomplex1/CWISE-Portal	0	0	0
